Model,3DMark Graphics Score,Architecture,Pixel Shaders,Core speed,Boost/Turbo,Memory Speed,Memory Type
NVIDIA GeForce RTX 3090,19940,Ampere,,1400 – 1700,,19500,GDDR6X
AMD Radeon 6900 XT,19835,Navi / RDNA2,,1825 – 2250,,19000,GDDR6
NVIDIA GeForce RTX 3080 Ti,19583,Ampere,,1370 – 1667,,19000,GDDR6X
AMD Radeon RX 6800 XT,18732,Navi / RDNA2,,1825 – 2250,,16000,GDDR6
NVIDIA GeForce 3080 LHR,17673,Ampere,,1450 – 1710,,19000,GDDR6
NVIDIA Quadro RTX A6000,17647,Turing,,1275 – 1455,,14000,GDDR6
AMD Radeon RX 6800,15428,Navi / RDNA2,,1815 – 2105,,16000,GDDR6
NVIDIA Titan RTX,14958,Ampere,,1350 -1770,,,GDDR6
NVIDIA GeForce RTX 3070 Ti,14804,Ampere,,1500 – 1725,,14000,GDDR6
NVIDIA GeForce RTX 2080 Ti,14761,Ampere,,1350 – 1545,,14000,GDDR6
NVIDIA GeForce RTX 3070,13701,Ampere,,780 – 1620,,14000,GDDR6
NVIDIA GeForce RTX 3080 Laptop GPU,11965,Ampere,6144,780 – 1100,1245 – 1710,14000,GDDR6
NVIDIA RTX A5000 Laptop GPU,,Ampere,6144,,,14000,GDDR6
NVIDIA GeForce RTX 3060 Ti,11810,,,,,,GDDR6
NVIDIA Quadro RTX 6000 (Laptop),13970,Turing,4608,1275,1455,14000,GDDR6
AMD Radeon RX 6800M,11769,RDNA 2,2560,,2300,16000,GDDR6
NVIDIA GeForce RTX 2080 Super Mobile,10541,Turing,3072,1365,1560,14000,GDDR6
NVIDIA GeForce RTX 3070 Laptop GPU,10514,Ampere,5120,780 – 1100,1290 – 1620,14000,GDDR6
NVIDIA RTX A4000 Laptop GPU,11016,Ampere,5120,,,12000,GDDR6
AMD Radeon RX 6700M,12453,RDNA 2,2304,,2300,16000,GDDR6
NVIDIA GeForce RTX 2070 SUPER,10171,,,,,,GDDR6
Apple M1 Max 32-Core GPU,,,32,1296,,,GDDR6
NVIDIA GeForce RTX 2080 Mobile,11638,Turing,2944,1380,1590,14000,GDDR6
NVIDIA Titan X (Pascal),9733,,,,,,
AMD Radeon RX 6600 XT,9696,,,,,,
AMD Radeon RX 5700 XT,9497,,,,,,
NVIDIA GeForce RTX 2070,9079,,,,,,
AMD Radeon VII,8940,,,,,,
NVIDIA Quadro RTX 5000 (Laptop),10673,Turing,3072,1035 / 1350,1545 / 1770,14000,GDDR6
NVIDIA GeForce RTX 2060 SUPER,8783,,,,,,
NVIDIA RTX A3000 Laptop GPU,,Ampere,4096,,,11000,GDDR6
Apple M1 Max 24-Core GPU,,,24,1296,,,
NVIDIA GeForce RTX 3060 Laptop GPU,8299,Ampere,3840,900,1283 – 1703,14000,GDDR6
NVIDIA GeForce RTX 2070 Super Mobile,8480,Turing,2560,1140,1380,14002,GDDR6
NVIDIA GeForce RTX 2080 Super Max-Q,8583,Turing,3072,975,1230,11000,GDDR6
NVIDIA Quadro RTX 5000 Max-Q,7727,Turing,3072,600 – 930,1350 – 1455,14000,GDDR6
NVIDIA GeForce RTX 2080 Max-Q,8048,Turing,2944,735-990,1095-1230,12000,GDDR6
AMD Radeon RX 5600 XT,7593,,,,,,
NVIDIA GeForce RTX 2070 Mobile,7543,Turing,2304,1215,1440,14000,GDDR6
NVIDIA GeForce RTX 2060,7561,,,,,,
AMD Radeon RX Vega 64,7446,,,,,,
NVIDIA GeForce GTX 1080 Mobile,7111,Pascal,2560,1566,1733,10000,GDDR5X
Apple M1 Pro 14-Core GPU,,,8,1296,,,
AMD Radeon Vega Frontier Edition,6914,,,,,,
NVIDIA Quadro RTX 4000 (Laptop),7846,Turing,2560,1110,1560,14000,GDDR6
NVIDIA GeForce GTX 1070 Ti,6819,,,,,,
AMD Radeon PRO W6600M,,RDNA 2,1792,,,14000,GDDR6
AMD Radeon RX 6600M,8154,RDNA 2,1792,,2177,16000,GDDR6
NVIDIA GeForce RTX 2070 Super Max-Q,7617,Turing,2560,930,1155,11000,GDDR6
NVIDIA Quadro RTX 4000 Max-Q,,Turing,2560,780 – 960,1380 – 1485,14000,GDDR6
NVIDIA GeForce GTX 1070,6066,,,,,,
Apple M1 Pro 16-Core GPU,,,16,1296,,,
NVIDIA GeForce RTX 2070 Max-Q,7010,Turing,2304,885-1080,1185-1305,12000,GDDR6
NVIDIA GeForce RTX 2060 (Notebook),5980,,,,,,
NVIDIA Quadro P5200,,Pascal,2560,1316,1569,7216,GDDR5
NVIDIA Quadro RTX 3000 (Laptop),,Turing,1920,945,1380,14000,GDDR6
NVIDIA GeForce RTX 2060 Mobile,6287,Turing,1920,960,1200,14000,GDDR6
NVIDIA GeForce GTX 1660,5444,,,,,,
NVIDIA Quadro RTX 3000 Max-Q,,Turing,1920,600 – 870,1215 – 1380,14000,GDDR6
NVIDIA GeForce GTX 1080 Max-Q,5997,Pascal,2560,1101 – 1290,1278 – 1468,10000,GDDR5X
AMD Radeon R9 Fury X,5149,,,,,,
NVIDIA GeForce GTX 1070 Mobile,5563,Pascal,2048,1443,1645,8000,GDDR5
NVIDIA GeForce RTX 2060 Max-Q,5630,Turing,1920,975,1185,11000,GDDR6
NVIDIA Quadro P4200,,Pascal,2304,1215,1480,7132,GDDR5
AMD Radeon R9 Fury,4753,,,,,,
NVIDIA RTX A2000 Laptop GPU,,Ampere,2560,,,12000,GDDR6
AMD Radeon RX 5600M,5914,Navi / RDNA,2304,,1265,12000,GDDR6
NVIDIA Quadro P5000,5998,Pascal,2048,1164,1506,6006,GDDR5
NVIDIA GeForce GTX 1660 Ti Mobile,5603,Turing,1536,1455,1590,12000,GDDR6
NVIDIA GeForce RTX 3050 Ti Laptop GPU,8783,Ampere,2560,1222,1485,12000,GDDR6
NVIDIA GeForce GTX 1070 Max-Q,4858,Pascal,2048,1101 – 1215,1265 – 1379,8000,GDDR5
AMD Radeon Pro 5600M,,Navi / RDNA,2560,,1265,,HBM2
NVIDIA GeForce GTX 1660 Ti Max-Q,4993,Turing,1536,1140,1335,12000,GDDR6
AMD Radeon R9 290X,3987,,,,,,
NVIDIA Quadro P5000 Max-Q,,Pascal,2048,1101,1366,6006,GDDR5
NVIDIA GeForce GTX 1060-5GB,3898,,,,,,
NVIDIA GeForce GTX 1060-3GB,3824,,,,,,
NVIDIA GeForce RTX 3050 Laptop GPU,4869,Ampere,2048,1238,1500,,GDDR6
NVIDIA GeForce GTX 970,3655,,,,,,
NVIDIA GeForce GTX 980 (Laptop),4376,Maxwell,2048,1126,1228,3500,GDDR5
NVIDIA Quadro M5500,,Maxwell,2048,1139,1140,6606,GDDR5
NVIDIA Quadro P2200,3409,,,,,,
NVIDIA GeForce GTX 780 Ti,3382,,,,,,
NVIDIA Quadro P4000,4898,Pascal,1792,1202,1228,6006,GDDR5
NVIDIA Quadro T2000 (Laptop),,Turing,1024,1575,1785,8000,GDDR5
NVIDIA GeForce GTX Titan Black,3125,,,,,,
AMD Radeon R9 380X,3052,,,,,,
NVIDIA GeForce GTX 1060 Mobile,3655,Pascal,1280,1404,1670,8000,GDDR5
NVIDIA GeForce GTX 1650 Ti Mobile,3681,Turing,1024,1350,1485,12000,GDDR6
AMD Radeon RX 5500M,4462,Navi / RDNA,1408,1327,1645,14000,GDDR6
AMD Radeon Pro 5500M,,Navi / RDNA,1536,,1300,12000,GDDR6
NVIDIA Quadro P4000 Max-Q,,Pascal,1792,1113,1240,6006,GDDR5
NVIDIA Quadro P3200,,Pascal,1792,708 – 1202,1228,7008,GDDR5
AMD Radeon RX 580X (Laptop),3858,Polaris,2304,,1340,,GDDR5
AMD Radeon RX 580 (Laptop),4306,Polaris,2304,1077,,,GDDR5
AMD Radeon Pro 5300M,,Navi / RDNA,1280,,1250,12000,GDDR6
AMD Radeon RX 5300M,,Navi / RDNA,1408,1036,1445,14000,GDDR6
NVIDIA Quadro P3000,,Pascal,1280,1088,1215,7008,GDDR5
AMD Radeon HD 7970,2281,,,,,,
NVIDIA GeForce GTX 1650 Mobile,3441,Turing,1024,1395,1560,8000,"GDDR5, GDDR6"
NVIDIA GeForce GTX 1060 Max-Q,3343,Pascal,1280,1063 – 1265,1341 – 1480,8000,GDDR5
NVIDIA Quadro P3000 Max-Q,,Pascal,1280,1075,1240,7008,GDDR5
NVIDIA GeForce GTX 1650 Ti Max-Q,3143,Turing,1024,1035,1200,10000,GDDR6
NVIDIA Quadro T2000 Max-Q,,Turing,1024,930 / 1200,1500 / 1620,8000,GDDR5
NVIDIA GeForce GTX 680,2037,,,,,,
AMD Radeon Pro WX 7100,,Polaris,2304,,1243,7000,GDDR5
AMD Radeon HD 7950,1920,,,,,,
AMD Radeon RX 570X (Laptop),,Polaris,2048,,1168,7000,GDDR5
AMD Radeon RX 570 (Laptop),3824,Polaris,2048,926,1206,7000,GDDR5
AMD Radeon RX 470 (Laptop),3649,Polaris,2048,926,1206,7000,GDDR5
NVIDIA GeForce GTX 1650 Max-Q,2917,Turing,1024,1020,1245,8000,"GDDR5, GDDR6"
NVIDIA T1200 Laptop GPU,,Turing,1024,,,12000,GDDR6
NVIDIA Quadro T1000 (Laptop),,Turing,768,1395,1455,8000,GDDR5
NVIDIA GeForce GTX 1050,1738,,,,,,
NVIDIA Quadro T1000 Max-Q,,Turing,768,795 / 1230,1455,8000,GDDR5
AMD Radeon RX 460,1737,,,,,,
NVIDIA T600 Laptop GPU,,Turing,896,,1400,10000,GDDR6
